config_id,drift_family,row_count,seed,family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
left_shift_rows20000_seed20260531,left_shift,20000,20260531,all,stale,84,25.338989243965436,0.0,0.0,0.5,0.5952380952380952,0.5,0.6904761904761905,42,0.0,0.0
left_shift_rows20000_seed20260531,left_shift,20000,20260531,all,isomer,84,1.4939588188645794,94.10411045018154,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,42,0.9523809523809523,0.047619047619047616
left_shift_rows20000_seed20260531,left_shift,20000,20260531,all,oasis,84,2.253257563301471,91.10754757576571,0.8928571428571429,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9404761904761905,42,0.9285714285714286,0.09523809523809523
left_shift_rows20000_seed20260531,left_shift,20000,20260531,all,oasis_projected,84,1.5046776494358893,94.06180872114213,0.9285714285714286,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,42,0.9761904761904762,0.023809523809523808
left_shift_rows20000_seed20260531,left_shift,20000,20260531,all,hybrid,84,1.4939588188645794,94.10411045018154,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,42,0.9523809523809523,0.047619047619047616
left_shift_rows20000_seed20260531,left_shift,20000,20260531,all,aggressive_hybrid,84,1.4939588188645794,94.10411045018154,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,42,0.9523809523809523,0.047619047619047616
left_shift_rows20000_seed20260531,left_shift,20000,20260531,all,fresh,84,1.119928526088465,95.58021626156544,0.9523809523809523,1.0,1.0,1.0,1.0,42,1.0,0.0
left_shift_rows20000_seed20260531,left_shift,20000,20260531,scan,stale,28,25.944650357949094,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,8,0.0,0.0
left_shift_rows20000_seed20260531,left_shift,20000,20260531,scan,isomer,28,1.4886103927206578,94.26236094076107,0.9285714285714286,1.0,1.0,1.0,1.0,8,1.0,0.0
left_shift_rows20000_seed20260531,left_shift,20000,20260531,scan,oasis,28,2.2217130366861353,91.43672007125187,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,8,1.0,0.05
