q,source,label,none_qerr,none_resid,none_qmae,hard_qerr,hard_resid,hard_qmae,router_qerr,router_resid,router_qmae,cases
1,stale,Stale prior,1.3745772666037668,0.04669376090849674,0.05158744900932403,1.1041293878909835,0.005359532176659799,0.009902957147411398,1.1037777885288462,0.005189687090513855,0.009851709885977698,128
1,lininterp,LinInterp,1.36211317390372,0.04845261680637556,0.05460293949779888,1.1062935423741451,0.005790982607207065,0.010600216202263755,1.1008515335774183,0.0049322724166036185,0.009665932689596613,128
1,feedavg,FeedAvg,1.3867930885436555,0.04821794150676657,0.05296275239925656,1.10127518877867,0.005419387859623276,0.009725003261910475,1.100280312626144,0.004941285936634277,0.009412793485503255,128
1,stholes,STHoles,1.2397835780712456,0.023492641287762742,0.02787934421459978,1.0988440657315925,0.004662305152124327,0.009081385574296847,1.0961499543963262,0.004296336185456007,0.008718558994711946,128
1,quicksel_h,QuickSel-H,1.2385584413609434,0.03168691703259322,0.04045098829347128,1.1005638814437082,0.005327970655434268,0.010572422727265218,1.090382126159335,0.0043529836512503275,0.008828679430898916,128
1,lqm,LQM (learned QD),1.2125060352486623,0.017837608978006077,0.02494843264374514,1.0982593277883028,0.004448664169327679,0.009576292510727051,1.0911541719156186,0.003993747869601709,0.008537998167906583,128
1,oasis_mlp,OASIS MLP,1.2590651529808379,0.027194329290212874,0.02986143779579222,1.0897490325331596,0.004490416969811749,0.008335208429911213,1.0850413798905045,0.004042164557143295,0.007883183970137228,128
3,stale,Stale prior,1.7197504890612012,0.08881079549825686,0.0965155157342657,1.1356205730589084,0.0070627103751916605,0.013816206377238033,1.134511836171424,0.006774477903708508,0.01347271264559273,128
3,lininterp,LinInterp,1.6104629943175677,0.08395464943703004,0.09270719239877621,1.131595710018814,0.0070940538801509195,0.013734931682685327,1.1274074995159538,0.006397704877587869,0.012870747405973432,128
3,feedavg,FeedAvg,1.7348751083293497,0.09031115430588112,0.09814304968405085,1.1423586991642625,0.008276442827088946,0.014835322104936769,1.1333002448905811,0.006580200910364148,0.01325823342226103,128
3,stholes,STHoles,1.3478231364853408,0.031423371244074134,0.03885964215349294,1.1256032484310021,0.005746744733633681,0.012206015604870295,1.1221137313758365,0.0054634985155597605,0.0117974031457578,128
3,quicksel_h,QuickSel-H,1.27342896253124,0.04126715196042,0.05180791998361123,1.1028146551167781,0.0055512471386521284,0.010936887441336826,1.0985239333155505,0.004906228785952459,0.010020629024587167,128
3,lqm,LQM (learned QD),1.3150882488824196,0.02985897987740033,0.03871736596736594,1.128766506278903,0.005836308377163273,0.013175809007948605,1.1239468530244519,0.00552888765210918,0.012595567509449797,128
3,oasis_mlp,OASIS MLP,1.4040214449912507,0.04836395990045343,0.04887752003378404,1.1120189157288163,0.005846004326161633,0.011186159259723086,1.1080498058258406,0.005167495089562861,0.010494705952789892,128
5,stale,Stale prior,2.014425742181164,0.12017392630021805,0.13316542832167835,1.1345127206628287,0.006996048474759811,0.013462338203517528,1.1324868218271626,0.006755612305844798,0.013211066120204623,128
5,lininterp,LinInterp,1.8017229787877322,0.10807780731587523,0.12114737296248791,1.1326791122794566,0.006882809777222721,0.013523166208388768,1.1252139112679391,0.0060230457602696175,0.012374880707045477,128
5,feedavg,FeedAvg,2.06396333466927,0.1238701415960653,0.13735664834992034,1.1416161411629253,0.007550467931988865,0.013974647368700965,1.1315731710291992,0.0064439026953669425,0.012954887811394675,128
5,stholes,STHoles,1.371940683875519,0.03618507100061535,0.044775120697273664,1.1173871197525014,0.005642650961430023,0.011282465305015216,1.1151132834537896,0.005190064870821987,0.011028627961467117,128
5,quicksel_h,QuickSel-H,1.3314971241536517,0.04463974279066522,0.05829520033175113,1.1095876362120427,0.005192699841669854,0.010907471151126339,1.1060613776043728,0.004827416883145027,0.010365466786353304,128
5,lqm,LQM (learned QD),1.382983755584299,0.035532223339871896,0.04722638646076144,1.1346783576010575,0.005705246845645544,0.013139230629670427,1.1232642023156125,0.005221426040520916,0.011829814474724316,128
5,oasis_mlp,OASIS MLP,1.5481371963932797,0.06308194986544068,0.06625934951932674,1.1441258971473909,0.007284723208979684,0.014174193924536432,1.120889717666983,0.005536071302969636,0.011384540991373688,128
10,stale,Stale prior,2.042899705981221,0.1316020934245955,0.1479030691530692,1.1275588775926508,0.007017414352647608,0.01343229962534321,1.1257503819888222,0.006806504791016255,0.01321183205742668,128
10,lininterp,LinInterp,1.823003551360818,0.11297450673981163,0.1278464995253491,1.119208171118571,0.006769189060303097,0.012657742321449476,1.1175018541561275,0.006204705323306063,0.012206306532189896,128
10,feedavg,FeedAvg,2.095216660940313,0.13610013023287829,0.1530906352443034,1.1267164831545888,0.0070557752648041615,0.013313543595123276,1.121971983256749,0.006525293299383635,0.01275621763331494,128
10,stholes,STHoles,1.3763806477399494,0.039068926755307896,0.04597877271921766,1.1121142827129276,0.005816826557053213,0.01144756406356488,1.1108193537414925,0.005193693511345106,0.011065852383362676,128
10,quicksel_h,QuickSel-H,1.3289544094911114,0.04879414043618632,0.06286782600452598,1.1018059630916144,0.005858905855785249,0.011290850349192107,1.089032476500055,0.004884212324694242,0.009517048958938689,128
10,lqm,LQM (learned QD),1.3719021970446803,0.03662346246574118,0.04852149499805749,1.127653736885099,0.0060618813929175725,0.013204122741246074,1.117549800835313,0.005148338318331243,0.011288052285036598,128
10,oasis_mlp,OASIS MLP,1.6469413965859236,0.08610910660820294,0.0911108411319362,1.1178202074822985,0.006454889804491151,0.012427318651786952,1.1019884166673533,0.005334169058565548,0.010391837677458075,128
