family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
all,stale,84,34.753298804396,0.0,0.0,0.5238095238095238,0.6071428571428571,0.5238095238095238,0.6904761904761905,40,0.0,0.0
all,isomer,84,2.0225686228253146,94.18021110971637,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,40,0.95,0.0
all,oasis,84,2.599293315632428,92.520729239943,0.9642857142857143,0.9523809523809523,0.9642857142857143,0.9523809523809523,0.9761904761904762,40,0.95,0.045454545454545456
all,oasis_projected,84,2.023621749483072,94.17718081707082,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,40,0.95,0.0
all,oasis_soft_projection,84,2.034235857184445,94.14663952152037,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,40,0.95,0.0
all,hybrid,84,2.002663380696064,94.23748694485732,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,40,0.95,0.0
all,aggressive_hybrid,84,2.008645899158182,94.22027269853271,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,40,0.95,0.0
all,calibrated_hybrid,84,1.9827335023044048,94.29483366898798,0.9761904761904762,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381,40,0.975,0.0
all,fresh,84,1.3404810755954537,96.14286665809722,1.0,1.0,1.0,1.0,1.0,40,1.0,0.0
scan,stale,28,35.52276820483507,0.0,0.0,0.75,0.75,0.75,1.0,7,0.0,0.0
scan,isomer,28,2.09587985388567,94.09989716510778,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,oasis,28,2.6767514543118307,92.46468789009666,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,7,1.0,0.047619047619047616
scan,oasis_projected,28,2.096710427781191,94.0975590199195,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,oasis_soft_projection,28,2.1079095145953355,94.06603251627101,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,hybrid,28,2.075259431932923,94.1579456309082,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,aggressive_hybrid,28,2.0818995105648184,94.13925317261325,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,calibrated_hybrid,28,2.0544436388613816,94.2165440851489,0.9642857142857143,1.0,1.0,1.0,1.0,7,1.0,0.0
scan,fresh,28,1.3756046167812697,96.12754104959075,1.0,1.0,1.0,1.0,1.0,7,1.0,0.0
join,stale,28,35.52276820483507,0.0,0.0,0.25,0.5,0.25,0.5,21,0.0,0.0
join,isomer,28,2.09587985388567,94.09989716510778,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,21,0.9523809523809523,0.0
